elapsed_hours,actual_chlorophyll_ug_L,predicted_chlorophyll_ug_L,alarm_threshold_ug_L
23.75,3.06,3.296,10.0
24.0,2.71,3.296,10.0
24.25,7.67,3.203,10.0
24.5,3.27,3.235,10.0
24.75,3.37,3.146,10.0
25.0,2.34,3.058,10.0
25.25,3.51,3.118,10.0
25.5,2.91,3.095,10.0
25.75,2.74,3.096,10.0
26.0,2.37,3.154,10.0
26.25,2.29,3.154,10.0
26.5,2.59,3.232,10.0
26.75,2.57,2.946,10.0
27.0,2.71,3.096,10.0
27.25,2.11,2.159,10.0
27.5,2.22,2.141,10.0
27.75,2.08,2.152,10.0
28.0,2.03,2.151,10.0
28.25,1.41,2.154,10.0
28.5,2.13,2.714,10.0
28.75,1.97,2.721,10.0
29.0,1.88,3.115,10.0
29.25,2.14,3.223,10.0
29.5,1.67,3.148,10.0
29.75,1.74,3.263,10.0
30.0,1.57,3.228,10.0
30.25,1.48,3.163,10.0
30.5,1.27,2.491,10.0
30.75,1.87,2.791,10.0
31.0,1.48,3.098,10.0
31.25,2.06,3.28,10.0
31.5,2.62,4.029,10.0
31.75,2.1,4.093,10.0
32.0,2.29,4.457,10.0
32.25,2.32,5.16,10.0
32.5,2.05,5.075,10.0
32.75,2.11,5.101,10.0
33.0,2.17,4.278,10.0
33.25,2.01,4.108,10.0
33.5,2.24,4.021,10.0
33.75,2.34,3.889,10.0
34.0,2.4,3.86,10.0
34.25,2.84,3.774,10.0
34.5,2.24,3.863,10.0
34.75,1.4,3.823,10.0
35.0,2.47,4.221,10.0
35.25,2.82,4.218,10.0
35.5,1.94,3.873,10.0
35.75,2.95,3.902,10.0
36.0,5.42,3.989,10.0
36.25,3.0,4.188,10.0
36.5,8.74,4.199,10.0
36.75,2.78,3.686,10.0
37.0,3.52,3.918,10.0
37.25,3.65,4.071,10.0
37.5,1.92,4.077,10.0
37.75,3.3,4.1,10.0
38.0,4.87,5.083,10.0
38.25,3.95,5.085,10.0
38.5,3.24,5.008,10.0
38.75,2.87,3.126,10.0
39.0,2.4,3.022,10.0
39.25,2.74,3.022,10.0
39.5,3.18,3.084,10.0
39.75,2.97,2.981,10.0
40.0,3.56,2.952,10.0
40.25,3.27,2.952,10.0
40.5,2.81,3.103,10.0
40.75,2.61,2.926,10.0
41.0,2.87,3.126,10.0
41.25,3.57,2.936,10.0
41.5,3.05,2.967,10.0
41.75,2.34,2.803,10.0
42.0,2.81,2.909,10.0
42.25,3.82,3.042,10.0
42.5,2.88,2.833,10.0
42.75,2.86,2.45,10.0
43.0,2.97,2.249,10.0
43.25,2.58,2.231,10.0
43.5,2.83,2.216,10.0
43.75,3.11,2.219,10.0
44.0,3.53,2.404,10.0
44.25,2.56,2.261,10.0
44.5,3.07,2.453,10.0
44.75,3.61,2.395,10.0
45.0,3.16,2.378,10.0
45.25,4.7,2.372,10.0
45.5,3.68,2.373,10.0
45.75,2.93,2.221,10.0
46.0,2.72,2.186,10.0
46.25,4.76,2.281,10.0
46.5,3.37,2.173,10.0
46.75,4.55,2.862,10.0
47.0,2.96,2.862,10.0
47.25,2.79,2.897,10.0
47.5,2.6,2.255,10.0
47.75,2.93,2.241,10.0
48.0,3.88,2.151,10.0
48.25,4.84,2.164,10.0
48.5,3.71,2.161,10.0
48.75,2.74,2.155,10.0
49.0,3.87,2.112,10.0
49.25,3.58,2.132,10.0
49.5,2.97,2.102,10.0
49.75,3.36,2.003,10.0
50.0,5.34,2.092,10.0
50.25,4.2,2.119,10.0
50.5,3.02,2.107,10.0
50.75,2.77,2.007,10.0
51.0,3.0,2.025,10.0
51.25,2.98,2.111,10.0
51.5,3.57,2.148,10.0
51.75,2.62,2.139,10.0
52.0,2.33,2.24,10.0
52.25,2.55,2.839,10.0
52.5,2.44,2.177,10.0
52.75,2.21,2.156,10.0
53.0,2.32,2.185,10.0
53.25,2.13,2.248,10.0
53.5,2.2,2.157,10.0
53.75,2.23,2.164,10.0
54.0,2.26,2.159,10.0
54.25,2.32,2.199,10.0
54.5,2.5,2.227,10.0
54.75,2.36,2.237,10.0
55.0,2.43,2.22,10.0
55.25,2.73,2.244,10.0
55.5,2.23,2.223,10.0
55.75,2.42,2.25,10.0
56.0,2.34,3.031,10.0
56.25,2.1,2.841,10.0
56.5,2.21,2.947,10.0
56.75,2.54,2.832,10.0
57.0,2.08,2.953,10.0
57.25,2.36,2.966,10.0
57.5,1.99,3.05,10.0
57.75,2.16,2.997,10.0
58.0,2.16,2.901,10.0
58.25,2.16,2.9,10.0
58.5,2.02,2.636,10.0
58.75,1.95,2.704,10.0
59.0,2.03,3.531,10.0
59.25,2.04,3.418,10.0
59.5,2.07,3.425,10.0
59.75,2.14,3.27,10.0
60.0,2.15,3.474,10.0
60.25,1.97,3.467,10.0
60.5,2.76,3.392,10.0
60.75,2.32,3.257,10.0
61.0,2.67,3.217,10.0
61.25,2.81,3.285,10.0
61.5,2.26,3.071,10.0
61.75,1.51,2.913,10.0
62.0,3.51,3.106,10.0
62.25,3.39,3.257,10.0
62.5,5.22,3.326,10.0
62.75,3.63,3.219,10.0
63.0,3.56,3.224,10.0
63.25,3.79,3.319,10.0
63.5,3.24,3.581,10.0
63.75,2.64,3.783,10.0
64.0,3.53,3.916,10.0
64.25,2.85,3.335,10.0
64.5,2.68,3.912,10.0
64.75,2.66,3.835,10.0
65.0,3.13,3.736,10.0
65.25,3.03,3.52,10.0
65.5,2.95,3.605,10.0
65.75,2.89,3.568,10.0
66.0,2.87,3.546,10.0
66.25,4.35,3.565,10.0
66.5,2.79,3.641,10.0
66.75,2.69,3.619,10.0
67.0,3.84,3.648,10.0
67.25,3.11,3.537,10.0
67.5,3.22,3.536,10.0
67.75,3.3,3.514,10.0
68.0,2.86,3.492,10.0
68.25,2.71,3.492,10.0
68.5,2.93,3.478,10.0
68.75,3.28,3.357,10.0
69.0,2.19,2.097,10.0
69.25,4.68,2.184,10.0
69.5,2.94,3.546,10.0
69.75,3.04,2.693,10.0
70.0,3.27,3.673,10.0
70.25,6.59,3.49,10.0
70.5,2.58,2.144,10.0
70.75,2.82,3.515,10.0
71.0,5.15,3.316,10.0
71.25,2.89,3.4,10.0
71.5,3.94,3.325,10.0
71.75,3.06,2.19,10.0
72.0,3.57,3.184,10.0
72.25,2.77,3.007,10.0
72.5,1.99,2.179,10.0
72.75,6.26,2.334,10.0
73.0,2.73,2.605,10.0
73.25,3.06,2.653,10.0
73.5,2.64,3.021,10.0
73.75,2.91,3.262,10.0
74.0,2.34,2.829,10.0
74.25,2.87,1.785,10.0
74.5,4.41,2.206,10.0
74.75,3.08,3.443,10.0
75.0,2.87,3.326,10.0
75.25,2.34,3.164,10.0
75.5,2.87,3.14,10.0
75.75,2.19,1.791,10.0
76.0,2.83,2.195,10.0
76.25,2.36,2.171,10.0
76.5,2.14,1.993,10.0
76.75,1.59,1.849,10.0
77.0,2.88,1.849,10.0
77.25,2.97,2.618,10.0
77.5,2.98,3.131,10.0
77.75,2.81,1.899,10.0
78.0,2.54,1.936,10.0
78.25,2.72,2.269,10.0
78.5,2.66,1.796,10.0
78.75,4.13,2.043,10.0
79.0,2.72,1.871,10.0
79.25,2.63,1.891,10.0
79.5,2.56,1.894,10.0
79.75,2.29,1.807,10.0
80.0,2.44,2.072,10.0
80.25,2.31,2.223,10.0
80.5,3.22,2.212,10.0
80.75,2.58,2.211,10.0
81.0,2.44,2.14,10.0
81.25,2.34,2.106,10.0
81.5,3.27,2.85,10.0
81.75,3.24,4.382,10.0
82.0,3.49,4.492,10.0
82.25,3.27,2.849,10.0
82.5,4.5,4.639,10.0
82.75,2.4,4.443,10.0
83.0,3.18,4.14,10.0
83.25,3.29,4.3,10.0
83.5,16.12,4.104,10.0
83.75,4.24,3.976,10.0
84.0,2.29,3.602,10.0
84.25,3.2,4.066,10.0
84.5,3.22,3.099,10.0
84.75,3.59,3.145,10.0
85.0,3.37,3.553,10.0
85.25,3.43,3.577,10.0
85.5,3.76,3.484,10.0
85.75,3.48,3.899,10.0
86.0,3.51,3.679,10.0
86.25,2.53,3.653,10.0
86.5,3.44,3.643,10.0
86.75,3.22,3.527,10.0
87.0,2.93,3.582,10.0
87.25,3.66,3.613,10.0
87.5,3.21,3.674,10.0
87.75,3.5,3.628,10.0
88.0,3.71,3.608,10.0
88.25,3.29,3.59,10.0
88.5,3.62,3.468,10.0
88.75,3.11,3.595,10.0
89.0,3.15,3.189,10.0
89.25,3.33,3.324,10.0
89.5,2.29,3.518,10.0
89.75,3.3,3.501,10.0
90.0,3.75,3.495,10.0
90.25,3.03,3.422,10.0
90.5,3.52,3.465,10.0
90.75,3.41,3.422,10.0
91.0,3.47,3.465,10.0
91.25,3.39,3.47,10.0
91.5,3.18,3.47,10.0
91.75,2.32,3.449,10.0
92.0,1.95,3.433,10.0
92.25,1.31,3.583,10.0
92.5,3.18,3.522,10.0
92.75,2.52,3.479,10.0
93.0,3.2,3.274,10.0
93.25,2.54,3.512,10.0
93.5,2.84,3.536,10.0
93.75,2.85,3.562,10.0
94.0,3.2,3.562,10.0
94.25,3.32,3.426,10.0
94.5,3.12,3.443,10.0
94.75,3.51,3.318,10.0
95.0,2.53,3.448,10.0
95.25,11.43,2.652,10.0
95.5,3.84,3.223,10.0
95.75,3.5,3.21,10.0
96.0,2.52,3.215,10.0
96.25,2.97,3.203,10.0
96.5,2.54,3.141,10.0
96.75,6.28,3.242,10.0
97.0,4.96,3.194,10.0
97.25,3.11,3.354,10.0
97.5,4.02,3.205,10.0
97.75,3.46,3.461,10.0
98.0,2.6,3.007,10.0
98.25,2.89,2.917,10.0
98.5,2.52,3.149,10.0
98.75,1.37,3.292,10.0
99.0,2.63,3.212,10.0
99.25,3.2,3.214,10.0
99.5,3.04,3.221,10.0
99.75,3.3,3.186,10.0
100.0,1.99,3.216,10.0
100.25,1.57,3.186,10.0
100.5,4.0,3.171,10.0
100.75,3.77,3.339,10.0
101.0,1.9,3.323,10.0
101.25,2.34,3.543,10.0
101.5,2.33,3.364,10.0
101.75,2.55,3.314,10.0
102.0,2.58,2.334,10.0
102.25,3.05,2.631,10.0
102.5,3.32,2.159,10.0
102.75,2.45,3.75,10.0
103.0,2.38,3.381,10.0
103.25,2.87,3.382,10.0
103.5,2.58,3.641,10.0
103.75,2.05,3.691,10.0
104.0,2.36,3.704,10.0
104.25,2.29,4.502,10.0
104.5,2.15,4.502,10.0
104.75,2.09,4.259,10.0
105.0,2.74,3.663,10.0
105.25,2.7,3.753,10.0
105.5,3.02,3.779,10.0
105.75,2.79,3.744,10.0
106.0,3.07,3.733,10.0
106.25,2.54,3.68,10.0
106.5,3.03,3.792,10.0
106.75,2.15,3.83,10.0
107.0,3.11,3.665,10.0
107.25,2.48,3.444,10.0
107.5,3.15,3.33,10.0
107.75,2.9,3.414,10.0
108.0,3.34,3.611,10.0
108.25,2.63,3.62,10.0
108.5,2.88,2.87,10.0
108.75,3.53,2.567,10.0
109.0,4.33,2.78,10.0
109.25,2.94,2.53,10.0
109.5,3.22,2.686,10.0
109.75,3.82,2.698,10.0
110.0,3.5,2.691,10.0
110.25,3.4,2.691,10.0
110.5,3.07,2.936,10.0
110.75,3.3,3.086,10.0
111.0,3.12,2.873,10.0
111.25,3.25,2.773,10.0
111.5,3.35,2.868,10.0
111.75,2.95,2.948,10.0
112.0,2.53,2.928,10.0
112.25,3.1,2.957,10.0
112.5,3.21,2.886,10.0
112.75,5.57,2.945,10.0
113.0,2.92,2.903,10.0
113.25,4.13,2.939,10.0
113.5,8.3,2.903,10.0
113.75,2.91,2.903,10.0
114.0,4.9,2.927,10.0
114.25,3.19,2.912,10.0
114.5,2.83,2.899,10.0
114.75,3.08,2.898,10.0
115.0,2.69,2.899,10.0
115.25,3.2,2.89,10.0
115.5,3.14,2.888,10.0
115.75,3.24,2.861,10.0
116.0,3.46,2.867,10.0
116.25,3.12,2.882,10.0
116.5,4.09,2.869,10.0
116.75,2.34,2.886,10.0
117.0,2.88,2.928,10.0
117.25,2.96,2.935,10.0
117.5,3.22,2.937,10.0
117.75,3.46,2.928,10.0
118.0,3.43,2.899,10.0
118.25,4.9,3.31,10.0
118.5,3.04,3.275,10.0
118.75,3.18,3.334,10.0
119.0,3.71,3.354,10.0
119.25,3.77,3.372,10.0
119.5,3.79,3.392,10.0
119.75,3.64,3.392,10.0
120.0,3.11,3.329,10.0
120.25,4.47,3.458,10.0
120.5,2.3,3.395,10.0
120.75,3.34,3.408,10.0
121.0,4.23,3.395,10.0
121.25,3.57,3.37,10.0
121.5,3.7,3.383,10.0
121.75,3.71,3.383,10.0
122.0,3.61,3.326,10.0
122.25,2.64,3.413,10.0
122.5,3.25,3.415,10.0
122.75,3.24,3.39,10.0
123.0,2.85,3.406,10.0
123.25,3.0,3.406,10.0
123.5,2.2,3.388,10.0
123.75,2.31,3.39,10.0
124.0,1.05,3.415,10.0
124.25,2.69,3.415,10.0
124.5,3.08,3.415,10.0
124.75,2.98,3.386,10.0
125.0,2.67,3.339,10.0
125.25,1.5,3.363,10.0
125.5,2.82,3.351,10.0
125.75,2.84,3.351,10.0
126.0,2.83,3.351,10.0
126.25,3.02,3.368,10.0
126.5,2.88,3.235,10.0
126.75,2.89,3.213,10.0
127.0,2.46,3.235,10.0
127.25,4.67,3.116,10.0
127.5,1.93,3.113,10.0
127.75,1.85,3.083,10.0
128.0,2.82,3.308,10.0
128.25,2.24,3.077,10.0
128.5,2.4,3.301,10.0
128.75,2.68,3.29,10.0
129.0,2.56,3.395,10.0
129.25,2.5,3.383,10.0
129.5,2.29,3.374,10.0
129.75,2.46,3.399,10.0
130.0,2.3,3.39,10.0
130.25,2.45,3.39,10.0
130.5,2.55,3.384,10.0
130.75,2.91,3.264,10.0
131.0,2.49,3.361,10.0
131.25,2.6,3.361,10.0
131.5,2.61,3.361,10.0
131.75,2.39,3.361,10.0
132.0,2.3,3.221,10.0
132.25,2.55,3.316,10.0
132.5,2.73,3.183,10.0
132.75,2.56,1.904,10.0
133.0,2.81,1.922,10.0
133.25,2.97,1.818,10.0
133.5,2.98,1.986,10.0
133.75,3.48,1.992,10.0
134.0,3.9,1.77,10.0
134.25,3.85,2.124,10.0
134.5,4.07,2.141,10.0
134.75,4.29,2.024,10.0
135.0,3.68,1.994,10.0
135.25,3.71,2.213,10.0
135.5,4.55,2.376,10.0
135.75,3.95,2.207,10.0
136.0,3.99,2.253,10.0
136.25,3.19,2.207,10.0
136.5,6.42,2.141,10.0
136.75,3.61,2.166,10.0
137.0,3.75,2.166,10.0
137.25,2.64,2.157,10.0
137.5,3.89,2.337,10.0
137.75,3.09,2.197,10.0
138.0,3.31,2.173,10.0
138.25,3.82,1.875,10.0
138.5,3.42,3.454,10.0
138.75,3.73,3.39,10.0
139.0,3.96,3.137,10.0
139.25,4.0,3.34,10.0
139.5,3.17,3.341,10.0
139.75,2.96,3.16,10.0
140.0,3.57,3.074,10.0
140.25,3.33,3.083,10.0
140.5,4.16,3.075,10.0
140.75,3.3,3.235,10.0
141.0,2.66,3.235,10.0
141.25,2.09,3.228,10.0
141.5,3.23,3.235,10.0
141.75,3.29,3.234,10.0
142.0,3.56,3.234,10.0
142.25,3.46,2.84,10.0
142.5,2.97,2.84,10.0
142.75,3.48,2.84,10.0
143.0,5.19,2.84,10.0
143.25,2.83,2.84,10.0
143.5,3.42,2.84,10.0
143.75,3.37,2.843,10.0
144.0,3.51,2.84,10.0
144.25,3.14,2.798,10.0
144.5,2.8,2.83,10.0
144.75,3.53,2.785,10.0
145.0,3.75,2.785,10.0
145.25,4.95,2.799,10.0
145.5,3.33,2.799,10.0
145.75,3.44,2.799,10.0
146.0,2.72,2.741,10.0
146.25,3.13,2.741,10.0
146.5,3.08,2.741,10.0
146.75,5.45,2.732,10.0
147.0,2.94,2.796,10.0
147.25,3.04,2.741,10.0
147.5,8.59,2.741,10.0
147.75,2.89,2.741,10.0
148.0,2.5,2.796,10.0
148.25,3.15,2.799,10.0
148.5,2.46,2.799,10.0
148.75,4.0,2.741,10.0
149.0,2.68,2.741,10.0
149.25,2.54,1.874,10.0
149.5,2.79,1.874,10.0
149.75,2.47,1.878,10.0
150.0,2.74,2.744,10.0
150.25,2.32,2.744,10.0
150.5,3.12,2.744,10.0
150.75,2.97,2.744,10.0
151.0,2.66,1.874,10.0
151.25,2.67,1.834,10.0
151.5,2.57,1.834,10.0
151.75,2.4,1.828,10.0
152.0,2.21,1.821,10.0
152.25,2.62,1.812,10.0
152.5,3.05,1.819,10.0
152.75,2.61,1.811,10.0
153.0,2.74,2.462,10.0
153.25,2.52,2.562,10.0
153.5,5.22,2.641,10.0
153.75,2.78,3.203,10.0
154.0,2.72,3.17,10.0
154.25,2.84,2.639,10.0
154.5,3.42,3.203,10.0
154.75,1.26,3.208,10.0
155.0,2.26,2.378,10.0
155.25,1.52,2.626,10.0
155.5,2.62,1.992,10.0
155.75,2.55,2.502,10.0
156.0,2.94,3.021,10.0
156.25,2.71,3.317,10.0
156.5,1.48,2.378,10.0
156.75,3.19,2.599,10.0
157.0,1.35,1.53,10.0
157.25,5.66,1.719,10.0
157.5,3.95,1.976,10.0
157.75,9.22,3.03,10.0
158.0,3.07,2.974,10.0
158.25,4.23,3.253,10.0
158.5,2.57,3.21,10.0
158.75,6.55,3.189,10.0
159.0,3.94,1.579,10.0
159.25,3.06,1.587,10.0
159.5,3.78,3.19,10.0
159.75,3.85,3.19,10.0
160.0,3.92,3.19,10.0
160.25,3.29,3.204,10.0
160.5,3.89,3.171,10.0
160.75,3.26,2.637,10.0
161.0,1.67,3.175,10.0
161.25,4.33,3.175,10.0
161.5,2.48,3.175,10.0
161.75,3.89,2.7,10.0
162.0,2.67,1.433,10.0
162.25,3.3,1.396,10.0
162.5,3.61,1.999,10.0
162.75,3.69,2.686,10.0
163.0,1.94,2.82,10.0
163.25,6.52,2.786,10.0
163.5,3.25,2.786,10.0
163.75,3.0,2.578,10.0
164.0,6.87,2.89,10.0
164.25,2.81,2.865,10.0
164.5,2.76,2.52,10.0
164.75,3.9,2.896,10.0
165.0,4.61,2.845,10.0
165.25,3.41,2.454,10.0
165.5,4.59,2.896,10.0
165.75,3.0,2.907,10.0
166.0,3.38,1.764,10.0
166.25,3.86,2.891,10.0
166.5,4.03,2.544,10.0
166.75,2.61,2.534,10.0
167.0,4.56,2.87,10.0
167.25,2.37,2.872,10.0
167.5,2.97,2.58,10.0
167.75,3.57,2.886,10.0
